分類するご飯名
ラーメン
まぜそば
ざるそば
うどん
焼きそば
スパゲッティ
カツ丼
親子丼
海鮮丼
牛丼
豚丼
カレーライス
キーマカレー
オムライス
チャーハン
ハンバーグ
豚カツ
ステーキ
焼き魚
煮魚
天ぷら
餃子
からあげ
麻婆豆腐
おでん
たこ焼き
味噌汁
豚汁
ハンバーガー
お好み焼き
ピザ
納豆
卵焼き
野菜サラダ
肉じゃが
野菜の煮物
漬物
焼き鳥
コロッケ
野菜炒め
白米
生姜焼き
ソーセージ
手羽先
目玉焼き
コーンスープ
フライドポテト
チキンナゲット
魚のフライ
パン
